query	subject	identity	alignment_length	mismatches	gap_opens	q_start	q_end	s_start	s_end	evalue	bit_score	query_key	subject_key	q_strand	s_strand	SAMPLE.TUMOR	CHROM	start_position	end_position
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	7	0	0	5	11	53	59	2.2	14	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	7	0	0	134	140	121	127	2.2	14	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	6	0	0	14	19	67	72	7.8	12.2	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	6	0	0	123	128	128	133	7.8	12.2	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	6	0	0	162	167	131	136	7.8	12.2	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	6	0	0	190	195	140	145	7.8	12.2	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	6	0	0	69	74	143	148	7.8	12.2	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	4	8	8	12	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	30	34	18	22	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	84	88	35	39	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	87.5	8	1	0	25	32	38	45	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	148	152	44	48	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	185	189	63	67	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	2	6	70	74	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	51	55	74	78	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	171	175	74	78	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	87.5	8	1	0	14	21	75	82	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	179	183	79	83	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	30	34	84	88	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	20	24	85	89	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	148	152	90	94	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	86	90	96	100	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	87.5	8	1	0	119	126	113	120	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	122	126	124	128	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	81	85	129	133	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	87.5	8	1	0	83	90	142	149	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	19	23	153	157	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	145	149	159	163	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	100	5	0	0	93	97	170	174	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
PD13419/1:3555591-3672726,3555492-3555691	PD13419/1:3555591-3672726,3672626-3672825	87.5	8	1	0	150	157	190	197	28	10.4	PD13419/1:3555591-3672726	PD13419/1:3555591-3672726	+	+	PD13419	1	3555591	3672726
